样本序号,情感标签,情感含义,原始评论,预处理后文本,词项,TF-IDF值
78,1,积极,//@爱旅游爱赣州: 中央四套出品，[good]展示赣州客家人文历史，将拍十二集，九月左右播出，期待中。//@客家情e:《客家足迹行》走进客家摇篮―赣州！[鼓掌]@爱旅游爱赣州 @江西风景独好 @江西赣州旅游 @赣州天下游 @赣州小编 @赣州同城会,爱 旅游 爱 赣州 中央 四套 出品 展示 赣州 客家人 文 历史 拍 十二 集 九月 播出 期待 客家 情 客家 足迹 行 走进 客家 摇篮 赣州 鼓掌 爱 旅游 爱 赣州 江西 风景 独好 江西 赣州 旅游 赣州 天 下游 赣州 小编 赣州 同城会,赣州,0.839253
78,1,积极,//@爱旅游爱赣州: 中央四套出品，[good]展示赣州客家人文历史，将拍十二集，九月左右播出，期待中。//@客家情e:《客家足迹行》走进客家摇篮―赣州！[鼓掌]@爱旅游爱赣州 @江西风景独好 @江西赣州旅游 @赣州天下游 @赣州小编 @赣州同城会,爱 旅游 爱 赣州 中央 四套 出品 展示 赣州 客家人 文 历史 拍 十二 集 九月 播出 期待 客家 情 客家 足迹 行 走进 客家 摇篮 赣州 鼓掌 爱 旅游 爱 赣州 江西 风景 独好 江西 赣州 旅游 赣州 天 下游 赣州 小编 赣州 同城会,客家,0.310365
78,1,积极,//@爱旅游爱赣州: 中央四套出品，[good]展示赣州客家人文历史，将拍十二集，九月左右播出，期待中。//@客家情e:《客家足迹行》走进客家摇篮―赣州！[鼓掌]@爱旅游爱赣州 @江西风景独好 @江西赣州旅游 @赣州天下游 @赣州小编 @赣州同城会,爱 旅游 爱 赣州 中央 四套 出品 展示 赣州 客家人 文 历史 拍 十二 集 九月 播出 期待 客家 情 客家 足迹 行 走进 客家 摇篮 赣州 鼓掌 爱 旅游 爱 赣州 江西 风景 独好 江西 赣州 旅游 赣州 天 下游 赣州 小编 赣州 同城会,旅游,0.167479
78,1,积极,//@爱旅游爱赣州: 中央四套出品，[good]展示赣州客家人文历史，将拍十二集，九月左右播出，期待中。//@客家情e:《客家足迹行》走进客家摇篮―赣州！[鼓掌]@爱旅游爱赣州 @江西风景独好 @江西赣州旅游 @赣州天下游 @赣州小编 @赣州同城会,爱 旅游 爱 赣州 中央 四套 出品 展示 赣州 客家人 文 历史 拍 十二 集 九月 播出 期待 客家 情 客家 足迹 行 走进 客家 摇篮 赣州 鼓掌 爱 旅游 爱 赣州 江西 风景 独好 江西 赣州 旅游 赣州 天 下游 赣州 小编 赣州 同城会,江西,0.165939
78,1,积极,//@爱旅游爱赣州: 中央四套出品，[good]展示赣州客家人文历史，将拍十二集，九月左右播出，期待中。//@客家情e:《客家足迹行》走进客家摇篮―赣州！[鼓掌]@爱旅游爱赣州 @江西风景独好 @江西赣州旅游 @赣州天下游 @赣州小编 @赣州同城会,爱 旅游 爱 赣州 中央 四套 出品 展示 赣州 客家人 文 历史 拍 十二 集 九月 播出 期待 客家 情 客家 足迹 行 走进 客家 摇篮 赣州 鼓掌 爱 旅游 爱 赣州 江西 风景 独好 江西 赣州 旅游 赣州 天 下游 赣州 小编 赣州 同城会,下游,0.114117
78,1,积极,//@爱旅游爱赣州: 中央四套出品，[good]展示赣州客家人文历史，将拍十二集，九月左右播出，期待中。//@客家情e:《客家足迹行》走进客家摇篮―赣州！[鼓掌]@爱旅游爱赣州 @江西风景独好 @江西赣州旅游 @赣州天下游 @赣州小编 @赣州同城会,爱 旅游 爱 赣州 中央 四套 出品 展示 赣州 客家人 文 历史 拍 十二 集 九月 播出 期待 客家 情 客家 足迹 行 走进 客家 摇篮 赣州 鼓掌 爱 旅游 爱 赣州 江西 风景 独好 江西 赣州 旅游 赣州 天 下游 赣州 小编 赣州 同城会,客家人,0.11012
78,1,积极,//@爱旅游爱赣州: 中央四套出品，[good]展示赣州客家人文历史，将拍十二集，九月左右播出，期待中。//@客家情e:《客家足迹行》走进客家摇篮―赣州！[鼓掌]@爱旅游爱赣州 @江西风景独好 @江西赣州旅游 @赣州天下游 @赣州小编 @赣州同城会,爱 旅游 爱 赣州 中央 四套 出品 展示 赣州 客家人 文 历史 拍 十二 集 九月 播出 期待 客家 情 客家 足迹 行 走进 客家 摇篮 赣州 鼓掌 爱 旅游 爱 赣州 江西 风景 独好 江西 赣州 旅游 赣州 天 下游 赣州 小编 赣州 同城会,摇篮,0.107863
78,1,积极,//@爱旅游爱赣州: 中央四套出品，[good]展示赣州客家人文历史，将拍十二集，九月左右播出，期待中。//@客家情e:《客家足迹行》走进客家摇篮―赣州！[鼓掌]@爱旅游爱赣州 @江西风景独好 @江西赣州旅游 @赣州天下游 @赣州小编 @赣州同城会,爱 旅游 爱 赣州 中央 四套 出品 展示 赣州 客家人 文 历史 拍 十二 集 九月 播出 期待 客家 情 客家 足迹 行 走进 客家 摇篮 赣州 鼓掌 爱 旅游 爱 赣州 江西 风景 独好 江西 赣州 旅游 赣州 天 下游 赣州 小编 赣州 同城会,独好,0.104401
78,1,积极,//@爱旅游爱赣州: 中央四套出品，[good]展示赣州客家人文历史，将拍十二集，九月左右播出，期待中。//@客家情e:《客家足迹行》走进客家摇篮―赣州！[鼓掌]@爱旅游爱赣州 @江西风景独好 @江西赣州旅游 @赣州天下游 @赣州小编 @赣州同城会,爱 旅游 爱 赣州 中央 四套 出品 展示 赣州 客家人 文 历史 拍 十二 集 九月 播出 期待 客家 情 客家 足迹 行 走进 客家 摇篮 赣州 鼓掌 爱 旅游 爱 赣州 江西 风景 独好 江西 赣州 旅游 赣州 天 下游 赣州 小编 赣州 同城会,足迹,0.104401
78,1,积极,//@爱旅游爱赣州: 中央四套出品，[good]展示赣州客家人文历史，将拍十二集，九月左右播出，期待中。//@客家情e:《客家足迹行》走进客家摇篮―赣州！[鼓掌]@爱旅游爱赣州 @江西风景独好 @江西赣州旅游 @赣州天下游 @赣州小编 @赣州同城会,爱 旅游 爱 赣州 中央 四套 出品 展示 赣州 客家人 文 历史 拍 十二 集 九月 播出 期待 客家 情 客家 足迹 行 走进 客家 摇篮 赣州 鼓掌 爱 旅游 爱 赣州 江西 风景 独好 江西 赣州 旅游 赣州 天 下游 赣州 小编 赣州 同城会,九月,0.096383
