原始评论,预处理后文本,特征词1,TF-IDF值1,特征词2,TF-IDF值2,特征词3,TF-IDF值3,特征词4,TF-IDF值4,特征词5,TF-IDF值5,特征词6,TF-IDF值6,特征词7,TF-IDF值7,特征词8,TF-IDF值8,特征词9,TF-IDF值9,特征词10,TF-IDF值10,特征词11,TF-IDF值11,特征词12,TF-IDF值12,特征词13,TF-IDF值13,特征词14,TF-IDF值14,特征词15,TF-IDF值15
👍🏻👍🏻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
滚远点，狗汉奸。,滚远点 狗 汉奸,汉奸,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赤子心爱国心。,赤子心 爱国心,爱国心,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
她的父母也许意识到了那个地方并不属于他们，所以让她回归。最起码比那些肮脏的香蕉人强百倍。,父母 也许 意识 地方 回归 最起码 肮脏 香蕉 人强 百倍,百倍,0.425469,肮脏,0.381984,最起码,0.365312,香蕉,0.336063,意识,0.333214,回归,0.329542,也许,0.28556,父母,0.275048,地方,0.223266,,,,,,,,,,,,
中国最需要的是顶尖科学家，而不是那些烧纳税人血汗钱的所谓＂体育明星＂！,中国 顶尖 科学家 烧 纳税人 血汗钱 体育明星,科学家,0.522509,血汗钱,0.515128,纳税人,0.463264,顶尖,0.437168,中国,0.23643,,,,,,,,,,,,,,,,,,,,
厉害,厉害,厉害,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爱国第一，成绩第二！,爱国 第一 成绩,成绩,0.641672,爱国,0.608593,第一,0.466768,,,,,,,,,,,,,,,,,,,,,,,,
我们就没有看到过有关朱姑娘被攻击的报道，这是小编哗众取宠！,朱 姑娘 攻击 报道 小编 哗众取宠,哗众取宠,0.585176,攻击,0.503819,报道,0.396553,小编,0.355069,姑娘,0.346997,,,,,,,,,,,,,,,,,,,,
体育无国界，好像有人这样说，呵呵,体育 无国界 好像 有人,无国界,0.631827,体育,0.536991,好像,0.399926,有人,0.390506,,,,,,,,,,,,,,,,,,,,,,
比赛具有一定的偶然性，支持朱易！,比赛 偶然性 支持 朱易,比赛,0.805809,支持,0.592176,,,,,,,,,,,,,,,,,,,,,,,,,,
中国的软实力就是在一些网络喷子的骂声中一点点积攒起来的！,中国 软 实力 网络 喷子 骂声 一点点 积攒,喷子,0.533618,骂声,0.52038,实力,0.397328,一点点,0.365038,网络,0.329916,中国,0.210926,,,,,,,,,,,,,,,,,,
不论朱易技艺怎么样，她的爱国心就值得称道！,朱易 技艺 爱国心 值得 称道,爱国心,0.690814,技艺,0.606131,值得,0.394184,,,,,,,,,,,,,,,,,,,,,,,,
拉倒吧，美国花样滑冰没她什么机会，要回来早就该回来了。,拉倒 美国 花样滑冰 机会 回来 早就 回来,拉倒,0.573098,回来,0.572134,早就,0.377232,美国,0.330003,机会,0.304984,,,,,,,,,,,,,,,,,,,,
支持，这个爱国的小姑娘,支持 爱国 小姑娘,小姑娘,0.652797,爱国,0.635858,支持,0.411753,,,,,,,,,,,,,,,,,,,,,,,,
那个倭贼张本智应该去跳楼,倭贼 张本 智 跳楼,张本,0.760129,跳楼,0.649772,,,,,,,,,,,,,,,,,,,,,,,,,,
国人力挺朱易。你是好样的。你的选择没有错。祖国是你的坚强后盾，14亿人民是你强大的脊梁。,国 人力 朱易 好样 选择 错 祖国 坚强 后盾 亿 强大 脊梁,后盾,0.439037,人力,0.396158,脊梁,0.396158,好样,0.344991,祖国,0.332518,坚强,0.317565,强大,0.300708,选择,0.269265,,,,,,,,,,,,,,
为朱姑娘点赞！加油！,朱 姑娘 点赞 加油,点赞,0.728725,姑娘,0.506455,加油,0.460936,,,,,,,,,,,,,,,,,,,,,,,,
为朱易点赞，好！美极了。[smile],朱易点 赞好 美极了,赞好,0.710664,美极了,0.703532,,,,,,,,,,,,,,,,,,,,,,,,,,
毛坦厂中学衡水中学培养出来的没有文化只有利益的极度自私的人,毛坦厂 中学 衡水 中学 培养 文化 利益 自私,中学,0.657403,衡水,0.406487,自私,0.367752,利益,0.329334,培养,0.317373,文化,0.241166,,,,,,,,,,,,,,,,,,
要的就是这颗中国心，各行业都有拨尖者，但有的为了钱才跑到国外为别人效力，那才是值得唾弃的数典忘祖的汉奸。,这颗 中国 心 行业 拨 尖者 钱 跑 国外 效力 那才 值得 唾弃 数典忘祖 汉奸,唾弃,0.431918,这颗,0.424341,汉奸,0.405242,那才,0.399149,国外,0.319095,行业,0.315916,值得,0.268186,中国,0.190505,,,,,,,,,,,,,,
