词项,类别,词频,PCA维度1,PCA维度2
开心,积极倾向词,5593,3.469484,-1.05294
快乐,积极倾向词,1756,6.041621,-5.670522
幸福,积极倾向词,1867,3.700534,-4.869693
喜欢,积极倾向词,3541,-0.219415,1.525234
支持,积极倾向词,1883,4.708046,5.035365
感谢,积极倾向词,1970,5.65039,4.009247
可爱,积极倾向词,5585,2.114887,-1.753681
鼓掌,积极倾向词,15994,2.759248,5.039836
加油,积极倾向词,1220,3.753031,1.637464
美好,积极倾向词,700,4.086522,-2.874273
温柔,积极倾向词,137,-1.449566,-0.436739
不错,积极倾向词,1802,-1.507079,4.10963
难过,消极倾向词,152,-1.292339,-0.693413
失望,消极倾向词,1972,-2.20816,-1.195707
伤心,消极倾向词,1487,-1.088693,-1.945493
讨厌,消极倾向词,322,-4.072976,-0.877363
恶心,消极倾向词,199,-4.175247,-0.77917
生气,消极倾向词,124,-3.0509,-0.25606
无语,消极倾向词,174,-2.779556,0.162134
糟糕,消极倾向词,53,-2.495064,0.20556
骗子,消极倾向词,96,-3.036361,0.41138
汉奸,消极倾向词,21,-2.793118,0.568574
肮脏,消极倾向词,21,-2.709053,0.557923
坏,消极倾向词,338,-3.406235,-0.857292
